school_name,alp_domain,alp_title,llp_domain1,llp_title1,llp_domain2,llp_title2
GEYLANG METHODIST SCHOOL (PRIMARY),na,na,Community Service & Student Leadership,"GM Earth Warriors Environment Education (EE): To Develop Student Leaders who Empathise, Enrich and Empower",na,na
GONGSHANG PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Character Through Sports,na,na
GREENDALE PRIMARY SCHOOL,Interdisciplinary,Developing Critical and Inventive Thinking Skills through Toy Design,Sports & Outdoor Education,Developing 21st Century Lifelong Learners through Outdoor Education,na,na
GREENRIDGE PRIMARY SCHOOL,na,na,Community Service & Student Leadership,NE2+ (positive): Nurturing Ethical and Effective Leaders with Positive mind-sets,na,na
GREENWOOD PRIMARY SCHOOL,Languages,Bilingual LIterature Appreciation Student Series (BLISS),Community Service & Student Leadership,"WHIZZ - We are Thinking, Inventive and Zealous KIdZ to serve the community",na,na
GUANGYANG PRIMARY SCHOOL,na,na,Music & Performing Arts,"LIVE YOUR PASSION – developing life-long learners with a passion for Music, Dance and Drama",na,na
HAIG GIRLS' SCHOOL,Interdisciplinary,Innovation and Service Learning through Integrated Project Work (IPW@HGS),Music & Performing Arts,Character and Leadership through the Performing and Visual Arts,na,na
HENRY PARK PRIMARY SCHOOL,Science,Science for Life @ HPPS,Sports & Outdoor Education,Sports4Life @ HHPS,na,na
HOLY INNOCENTS' PRIMARY SCHOOL,Coding,Digiminds@HIPS,Music & Performing Arts,ARTistry@HIPS,na,na
HONG WEN SCHOOL,na,na,Sports & Outdoor Education,Developing 21st Century Learners Holistically through Sports and Games,Community Service & Student Leadership,Everyone A Gracious LEader who contributes to Society (EAGLES)
HORIZON PRIMARY SCHOOL,Mathematics,Computational Thinking in Mathematics,Community Service & Student Leadership,I-LEAD – A Whole School Student Leadership Development Programme,na,na
HOUGANG PRIMARY SCHOOL,Science,"X-Cell in Science@HGP – eXperiment, eXplore, eXperience",Sports & Outdoor Education,Character Development through Outdoor Adventure Education (OAE),na,na
HUAMIN PRIMARY SCHOOL,na,na,Visual Arts & Design,Creative Arts Programme for Students (C.A.P.S.),Community Service & Student Leadership,NurTuring CAPs (T-CAPS) @Huamin through Community Service & Student Leadership Development in Education for Sustainable Development (ESD)
INNOVA PRIMARY SCHOOL,Interdisciplinary,Creative Problem Solving (CPS) Programme: CPS@IPS for the Holistic Development of a 21st Century Child in Innova Primary School,Community Service & Student Leadership,Leading Through Serving,na,na
JIEMIN PRIMARY SCHOOL,Languages,J-YEAR (Jiemin- Young Editors And Reporters ),Music & Performing Arts/ Visual Arts & Design,Aesthetics Alive,na,na
JING SHAN PRIMARY SCHOOL,Science,"Learning Science – the I3 (Inquiry, ICT & Innovation) Approach",Visual Arts & Design,"Nurturing Thinkers, Learners and Leaders through Visual Arts and Pottery",na,na
JUNYUAN PRIMARY SCHOOL,Languages,Developing Every Student into a Confident Communicator,Sports & Outdoor Education,Shaping Individuals to Excel (SHINE) @ Junyuan through Sports,na,na
JURONG PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Every Child a Leader @ JPS (ECAL @ JPS),na,na
JURONG WEST PRIMARY SCHOOL,Languages,Art of Communication for Personal Excellence,Sports & Outdoor Education,Experiential Learning of Lifeskills for Personal Excellence,na,na
JUYING PRIMARY SCHOOL,Interdisciplinary,ThINKabits,Community Service & Student Leadership,Environmental Education,na,na
KEMING PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Sports4All@Keming: Character Development through Sports,na,na
KHENG CHENG SCHOOL,na,na,Community Service & Student Leadership,Student Voice & Advocacy (SVA) @ KCS,na,na
KONG HWA SCHOOL,Languages,Every Pupil an Effective Communicator,Sports & Outdoor Education,Exposure-Experience-Excel through Sports,na,na
KRANJI PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Developing Champions in Life through Sports,na,na
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,Languages,"E-Cube: Engage, Excite, Express",Visual Arts & Design,Learning for Life in Art and Design,na,na
LAKESIDE PRIMARY SCHOOL,na,na,Music & Performing Arts,ARTS De La Sc&egrave;ne,na,na
LIANHUA PRIMARY SCHOOL,Coding,Robotics Project Work,Sports & Outdoor Education,VIA through Sports,na,na
LOYANG PRIMARY SCHOOL,Science,Nature-Based Education,Visual Arts & Design,Creative Arts @ LP,na,na
MACPHERSON PRIMARY SCHOOL,na,na,Sports & Outdoor Education,"Learn, Love, Lead through Sports (3L Sports)",na,na
MAHA BODHI SCHOOL,na,na,Music & Performing Arts,Learning through an Ethnic Arts Programme (LEAP),na,na
MARSILING PRIMARY SCHOOL,na,na,Community Service & Student Leadership,"LEAD (Learn, Engage, Absorb, Demonstrate) to Serve @ MPS",na,na
MARYMOUNT CONVENT SCHOOL,na,na,Sports & Outdoor Education,Sports Excellence (SPEX) @ Marymount,Music & Performing Arts/ Visual Arts & Design,Grooming Cultured and Refined Ladies through the Aesthetics
MAYFLOWER PRIMARY SCHOOL,na,na,Music & Performing Arts,"LLP@MFPS: Development of Character, Citizenship and 21CC in and through the Arts",na,na
MEE TOH SCHOOL,Interdisciplinary,"Educate, Engage and Empower Eco-Citizens @MTS",Sports & Outdoor Education,SENCE @ MTS,na,na
MERIDIAN PRIMARY SCHOOL,Interdisciplinary,"Nurturing Future Learners, Citizens and Leaders through a whole school interdisciplinary approach in Eco-Environmental Curriculum",Community Service & Student Leadership,Meridian Values-Based Student Leadership In Action For 21CC,na,na
METHODIST GIRLS' SCHOOL (PRIMARY),Languages,Language and Communication,na,na,na,na
MONTFORT JUNIOR SCHOOL,Science,"Developing Future Ready Monfortians: I Dream, I Believe, I Make",Sports & Outdoor Education,Character Matters: Developing Montfortians with CHRISTE values through sports,na,na
NAN CHIAU PRIMARY SCHOOL,Interdisciplinary,Applied Learning@NCPS through Project Work,Community Service & Student Leadership,Watch Me Soar (Student Leadership LLP - A Whole School Approach),na,na
NAN HUA PRIMARY SCHOOL,Interdisciplinary,NHPS Thinking Programme,na,na,na,na
NANYANG PRIMARY SCHOOL,Innovation & Enterprise,MIND SPORTS FOR LIFE,Music & Performing Arts,Building Cultural Quotience Through Dance,na,na
NAVAL BASE PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Holistic Outdoor Physical Education & Sports (HOPES) Programmes,na,na
NEW TOWN PRIMARY SCHOOL,na,na,Community Service & Student Leadership,A Leader in Every Child,na,na
NGEE ANN PRIMARY SCHOOL,na,na,Music & Performing Arts,"GRACE (Graciousness through Arts, Creating Excellence) in Performing Arts Programme",na,na
NORTH SPRING PRIMARY SCHOOL,na,na,Community Service & Student Leadership,NSPS CCE Learning Experience – A Holistic and Engaging Approach,Sports & Outdoor Education,Play Your Hearts Out @  North Spring
NORTH VIEW PRIMARY SCHOOL,na,na,Music & Performing Arts,Every Pupil a Confident Performer,na,na
NORTH VISTA PRIMARY SCHOOL,ICT & Media,Developing 21st Century Competencies through ICT,Visual Arts & Design,Visual Arts & Design,na,na
NORTHLAND PRIMARY SCHOOL,Interdisciplinary,Skilling the Mind; Empowering the Thinking,Music & Performing Arts,"My Story, My Stage",na,na
NORTHOAKS PRIMARY SCHOOL,Innovation & Enterprise,Curriculum Integration through Innovation@Northoakes (CI=I@northoakes),na,na,na,na
OASIS PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Lead with a Heart@Oasis,na,na
OPERA ESTATE PRIMARY SCHOOL,na,na,Music & Performing Arts,Ignite the Arts @ OEPS,Community Service & Student Leadership,"Learn to Lead, Lead to Serve"
PALM VIEW PRIMARY SCHOOL,Languages,Act-cellence: Education through Drama Programme,na,na,na,na
PARK VIEW PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Park View Sports Experiential Programme,Community Service & Student Leadership,Leader in Me
PASIR RIS PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Leaders Growing Leaders,Sports & Outdoor Education,E3 in Sports@PRPS
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),na,na,Sports & Outdoor Education,Aesthetics Sports Experience @ PL,Music & Performing Arts,Music Harmonises @ PL
PEI CHUN PUBLIC SCHOOL,Languages,Bilingual Media Studies (BMS) Programme,Community Involvement & Student Leadership,Pei Chun Leaders Programme (PCLP),na,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,Languages,"Competent, Confident Communicators (C<sup>3</sup>) – A 6 year progressive programme.",Sports & Outdoor Education,"STAR (Self-defence, Track & field, Adventure and Racquet games) @ PHPPS",na,na
PEI TONG PRIMARY SCHOOL,na,na,Music & Performing Arts,MELODY@PEI TONG,na,na
PEIYING PRIMARY SCHOOL,na,na,Sports & Outdoor Education,"Sports, Character Development and Adventure Learning Experiences @ Peiying (SCALE@PEIYING)",na,na
PIONEER PRIMARY SCHOOL,na,na,Music & Performing Arts,Fitness and Graciousness Through Dance,na,na
POI CHING SCHOOL,na,na,Music & Performing Arts,D’ARTS@PCS,na,na
PRINCESS ELIZABETH PRIMARY SCHOOL,na,na,Community Service & Student Leadership,ASPIRE to Serve and Lead,na,na
PUNGGOL COVE PRIMARY SCHOOL,Languages,Holistic English Literacy Programme (HELP),na,na,na,na
PUNGGOL GREEN PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Learning for Life through Environmental Education And Project Work (L.E.A.P.),na,na
PUNGGOL PRIMARY SCHOOL,Interdisciplinary,GreeNovation @ PPS,Sports & Outdoor Education,SEL & character development Through Active paRticipation in Sports (S.T.A.R.S.),na,na
PUNGGOL VIEW PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Building Character through Outdoor Education,na,na
QIFA PRIMARY SCHOOL,Languages,Effective Communication,Sports & Outdoor Education,CHAMPS @Qifa,na,na
QIHUA PRIMARY SCHOOL,Innovation & Enterprise,Inventive and Critical Thinking Skills through Innovation and Entrepreneurship Excellence Programme,Sports & Outdoor Education,Promotion of School Values through Sports Development Programme (SDP),na,na
QUEENSTOWN PRIMARY SCHOOL,na,na,Visual Arts & Design,Connecting the heARTs with ARTs,na,na
RADIN MAS PRIMARY SCHOOL,Coding,Nurturing 21st Century Competencies through Computational Thinking With Design Thinking,na,na,na,na
RAFFLES GIRLS' PRIMARY SCHOOL,Languages,Nurturing Confident Communicators,Music & Performing Arts,Developing Creatively Through Collaborative Music Making,na,na
RED SWASTIKA SCHOOL,Science,Tinkers to Thinkers (T2T) Programme,Community Service & Student Leadership,Every RSS Student A Leader,na,na
RIVER VALLEY PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Enhancing Character and Citizenship Education with Leadership Development to Edify Lives in RVPS,na,na
RIVERSIDE PRIMARY SCHOOL,Interdisciplinary,Playworks – Nurturing Critical and Inventive Thinkers,na,na,na,na
RIVERVALE PRIMARY SCHOOL,Science,Multi-Literacy Programme (MLP),Music & Performing Arts,DANCE FEVER – Dance Aces Nurturing Cultural Expression For EVEry Riverlite,na,na
ROSYTH SCHOOL,Science,Augmenting Science Learning through Innovation,Music & Performing Arts,Programme for Aesthetics Integration@Rosyth (PAIR),na,na
RULANG PRIMARY SCHOOL,Coding,Enhancing 21st Century Competencies Through Robotics,Sports & Outdoor Education,"Sports Teach Responsibility, Inventiveness, Values & Excellence (STRIVE) @ Rulang",na,na
SEMBAWANG PRIMARY SCHOOL,Science,Nurturing Green Citizens & Leaders through Environmental Studies,na,na,na,na
SENG KANG PRIMARY SCHOOL,Languages,Enhanced Spoken English Programme,Sports & Outdoor Education,Developing Values and Leadership through Sports Education,na,na
SENG KANG GREEN PRIMARY SCHOOL,na,na,Music & Performing Arts/ Visual Arts & Design,ICAR2E THROUGH THE ARTS,na,na
SHUQUN PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Character and Leadership development through ADventure (CLAD),na,na
SI LING PRIMARY SCHOOL,Science,Environmental Science Programme,na,na,na,na
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,na,na,Music & Performing Arts,PAM@SC – Performing Arts and Music at SC,na,na
SOUTH VIEW PRIMARY SCHOOL,ICT & Media,"energIze, exCite, and exalT! - Learning through Empowering @ SVPS",Music & Performing Arts,Love Dance.  Love Life!,na,na
SPRINGDALE PRIMARY SCHOOL,Interdisciplinary,Out-of-Door Education (ODE) through Curriculum Integration,na,na,na,na
ST. ANDREW'S JUNIOR SCHOOL,Interdisciplinary,A Saint who Thinks Holistically,Sports & Outdoor Education,"Sports for Life – Spectator, Supporter and Sportsman",na,na
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,na,na,Sports & Outdoor Education,SACPS is FIT for Life – Building Resilience & Perseverance through Sports & Games,Music & Performing Arts,Developing Confidence and Creativity through the Performing Arts
ST. ANTHONY'S PRIMARY SCHOOL,na,na,Visual Arts & Design,Visual Arts Programme for Active Learning (VAPAL),Sports & Outdoor Education,LEARN.PLAY.GROW – ‘Developing Character through Sports’ Programme
ST. GABRIEL'S PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Montfortian Leadership Programme (MLP),na,na
ST. HILDA'S PRIMARY SCHOOL,Languages,Developing confident communicators through an enriched global education -- The Hildan Ambassador’s Education,Visual Arts & Design,"IMPRINTS Alive! Nurturing Creativity and Culture through Performing Arts, Visual Arts and Leadership",na,na
ST. JOSEPH'S INSTITUTION JUNIOR,na,na,Sports & Outdoor Education,Sports Experience Reinforcing Values Education (Serve@SJIJ),na,na
ST. MARGARET'S PRIMARY SCHOOL,na,na,Music & Performing Arts,"Dance A.L.I.V.E!: Dance for Agility, Life, Ingenuity, Versatility and Expression",Sports & Outdoor Education,Sports A. C<sup>2</sup>. E: Sports for All; Sports for Continuity & Character; Sports for Excellence
ST. STEPHEN'S SCHOOL,na,na,Music & Performing Arts,MUsic for STephenians  (MUST),Sports & Outdoor Education,Physical EducAtion and Sports for every StephenIAN  (PASSIAN)
STAMFORD PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Character and Leadership through Sports and Outdoor Education,na,na
TAMPINES NORTH PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Green for Life (G4Life) Programme: Character Building through Environment Education,na,na
TAMPINES PRIMARY SCHOOL,na,na,Music & Performing Arts,"STAR ACTtituDE: 
Pupils with Strengths, Talents, Aspiration and Resilience to achieve A Character Turnaround and Transformation inspired through Drama in Education",na,na
TANJONG KATONG PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Team Sports Excellence @ TKP,na,na
TAO NAN SCHOOL,Mathematics,Application of Mathematics for Lifelong Learning (AML2),Sports & Outdoor Education,ENRICH@TNS,na,na
TECK GHEE PRIMARY SCHOOL,na,na,Visual Arts & Design,Confident Communicators with Ceramics (C3),na,na
TECK WHYE PRIMARY SCHOOL,ICT & Media,Media Whiz Kids! Nurturing Confident and Media Literate Communicators,Community Service & Student Leadership,"I-LEAD, I-SERVE – Leadership through and as Service",na,na
TELOK KURAU PRIMARY SCHOOL,Coding,Thinking through Coding and Robotics,Sports & Outdoor Education,Character Development through Team Sports,na,na
TEMASEK PRIMARY SCHOOL,Coding,RoboALERT (Applicative Learning Experience through Robotics at Temasek),Sports & Outdoor Education,SOAR – Sports Opportunities for Active lifestyle and physical Resilience and Sporting Excellence,na,na
TOWNSVILLE PRIMARY SCHOOL,na,na,Visual Arts & Design,Visual Arts for Life @ Townsville,na,na
UNITY PRIMARY SCHOOL,Languages,CAPtivate! – Critical Thinking Accelerated Programme @ UPS,Community Service & Student Leadership,CharGE UP! (Character Development through Green & Experiential Learning @ Unity Primary),na,na
WATERWAY PRIMARY SCHOOL,Languages,Orators@Waterway,na,na,na,na
WELLINGTON PRIMARY SCHOOL,ICT & Media,Promoting Student Enquiry & Independent Learning through New Media,Music & Performing Arts,"Developing Student Talent and Life-long Learning in Dance through ADDAM (Academy of Dance, Drama, Art & Music)",na,na
WEST GROVE PRIMARY SCHOOL,na,na,Music & Performing Arts,Thoughtful Learning through the Arts,na,na
WEST VIEW PRIMARY SCHOOL,Science,F.R.I.E.N.D of Earth,Music & Performing Arts,"ACE the Arts (Appreciate, Create, Explore to Excel)",na,na
WEST SPRING PRIMARY SCHOOL,Science,Sustaining the Earth with Applied Solutions (SEAS),Sports & Outdoor Education,Joyful ExperienC.E. @ West Spring (ExperienC.E. – Experience Challenging Endeavours),na,na
WESTWOOD PRIMARY SCHOOL,Innovation & Enterprise,Positive Design Applied Learning Programme,Community Service & Student Leadership,Inspiring Student Leadership and Community Service through Positive Education,na,na
WHITE SANDS PRIMARY SCHOOL,ICT & Media,Digital Media in Aesthetics & Languages,na,na,na,na
WOODGROVE PRIMARY SCHOOL,Languages,Effective Communication via Drama,Music & Performing Arts,Shine and Succeed through Dance,na,na
WOODLANDS PRIMARY SCHOOL,na,na,Music & Performing Arts,Performance And Character Education through Music (PACE@Music),Sports & Outdoor Education,Sports Performance And Character Education (SPACE)
WOODLANDS RING PRIMARY SCHOOL,Science,Investigative Project Work @ WRPS,na,na,na,na
XINGHUA PRIMARY SCHOOL,na,na,Visual Arts & Design,Developing Higher Order Thinking Through Visual Art,na,na
XINGNAN PRIMARY SCHOOL,na,na,Music & Performing Arts,FLAIR@XINGNAN – An experience with Performing Arts,na,na
XINMIN PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Cultivating a Life of Values and Excellence (CLOVE),na,na
XISHAN PRIMARY SCHOOL,na,na,Sports & Outdoor Education,Empowerment through Sports Education,na,na
YANGZHENG PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Student Leadership and Life Skills Development through Uniformed Groups,na,na
YEW TEE PRIMARY SCHOOL,Interdisciplinary,"D.R.E.A.M.@Yew Tee (Developing Reflective Learners, Empowering Creative Minds)",Sports & Outdoor Education,Holistic Enriching and Rewarding Outdoor Education & Sports (HEROES) @ YTPS,na,na
YIO CHU KANG PRIMARY SCHOOL,Science,ESTEM@YCKPS (ALP in Environmental STEM-based applied learning AT YCKPS),Music & Performing Arts,CREATE@ YCKPS,na,na
YISHUN PRIMARY SCHOOL,Science,"Work as a Team, Be Environmentally Green",Music & Performing Arts,"Viva De Symphonie – Championing Values: Living, Learning and Growing through Music",na,na
YU NENG PRIMARY SCHOOL,ICT & Media,The 3E Experience @ YNPS: Nurturing Future-Ready 21st Century Learners,Sports & Outdoor Education,GOal GR3IT – Character Development through Sports @ Yu Neng Primary,na,na
YUHUA PRIMARY SCHOOL,na,na,Music & Performing Arts,Building Good Character through Music and the Performing Arts,na,na
YUMIN PRIMARY SCHOOL,Coding,"I3QUEST –Question, Imagine, Innovate, Inspire",Community Service & Student Leadership,"Compassionate Champions, Rooted Singaporeans, Citizens of the World – Developing 21st CC in Yumin Champions",na,na
ZHANGDE PRIMARY SCHOOL,Science,Developing Zhangde GIVER<sup>3</sup>S Values Through Environment Education,na,na,na,na
ZHENGHUA PRIMARY SCHOOL,na,na,Music & Performing Arts,Aesthetics Appreciation through Dance Arts Education,na,na
ZHONGHUA PRIMARY SCHOOL,na,na,Community Service & Student Leadership,Green Education Movement @ Zhonghua Primary School (GEM@ZPS),na,na
